Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2019,,automatique,,,,,non requis,noir verni,cuir/alcantara noir,1,,,,47 775 Km,https://www.lacentrale.fr/auto-occasion-annonce-66102146095.html,59,17/02/2019,M. ou Mme S.,4,4,3,EURO6,non,,,Importé,390 ch,32 CV,,,Vendeur particulier,,,Dodge,RAM,,DODGE RAM 1500 5.7 V8 395 GPL HEMI CREW CAB LARAMIE,75 490 €,B102146095,,,Bicarburation essence GPL
2013,,automatique,,F,,8.5 l/100km,requis,noir metal,cuir beige,2,,,,244 080 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102162583.html,77,04/03/2013,M. ou Mme G.,7,5,2,EURO5,non,,,Importé,272 ch,19 CV,200 kW,,Vendeur particulier,,,Toyota,LAND CRUISER SW SERIE 200,Bien équipé,TOYOTA LAND CRUISER SW (VDJ200) 4.5 V8 D-4D 272 LOUNGE 7PL,42 490 €,B102162583,,250 g/km,Diesel
2017,,automatique,,B,,4.3 l/100km,requis,rouge metal,cuir gris,1,,,,112 800 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102131893.html,29,07/01/2018,M. ou Mme D.,5,5,2,EURO6,oui,,,,131 ch,7 CV,96 kW,,Vendeur particulier,,,Peugeot,308 (2E GENERATION),Très bien équipé,PEUGEOT 308 II 1.2 PURETECH S&S 130 FELINE EAT6,16 780 €,B102131893,,112 g/km,Essence
1985,,mécanique,,G,,,requis,blanc nacre,cuir/tissu gris,,,,,211 310 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102084615.html,88,02/09/1984,M. ou Mme C.,4,2,4,,non,,,,231 ch,17 CV,170 kW,,Vendeur particulier,,,Porsche,911 TYPE 911,,PORSCHE 911 3.2 CARRERA,74 010 €,B102084615,,346 g/km,Essence
2020,,automatique,,A,,4 l/100km,non requis,noir verni,alcantara noir,2,,,,50 760 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102162373.html,63,17/08/2020,M. ou Mme L.,5,5,1,EURO6,oui,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Ds,7 CROSSBACK,Bien équipé,DS DS 7 CROSSBACK 1.5 BLUEHDI 130 PERFORMANCE LINE AUTOMATIQUE,34 020 €,B102162373,,100 g/km,Diesel
2003,,automatique,,G,,8.7 l/100km,requis,gris anthracite metal,cuir gris,3,,,,171 215 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102138803.html,38,28/02/2003,M. ou Mme L.,4,2,2,EURO3,non,,,Importé,320 ch,23 CV,235 kW,,Vendeur particulier,,,Porsche,911 TYPE 996,,PORSCHE 911 (996) (2) 3.6 CARRERA 4 TIPTRONIC S,36 900 €,B102138803,,289 g/km,Essence
2016,,mécanique,,C,,4.8 l/100km,requis,marron metal,cuir/tissu noir,1,,,,72 248 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141079.html,91,07/03/2016,M. ou Mme L.,5,5,2,EURO5,oui,,,,120 ch,7 CV,88 kW,,Vendeur particulier,,,Peugeot,2008,Très bien équipé,PEUGEOT 2008 1.6 VTI 120 FELINE TITANE,12 960 €,B102141079,,135 g/km,Essence
2020,,automatique,,B,,4.9 l/100km,non requis,gris foncé metal,tissu gris,1,,,,103 550 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102122348.html,63,31/05/2020,M. ou Mme L.,5,5,1,EURO6,oui,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Ds,3 CROSSBACK,Equipement standard,DS DS 3 CROSSBACK 1.2 PURETECH 130 CHIC AUTOMATIQUE,20 600 €,B102122348,,109 g/km,Essence
2018,,automatique,,B,,3.9 l/100km,requis,gris anthracite metal,tissu noir,2,,,,69 495 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102152287.html,06,01/09/2018,M. ou Mme E.,5,4,3,EURO6,non,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Bmw,SERIE 4 F36 GRAN COUPE,Très bien équipé,BMW SERIE 4 (F36) GRAN COUPE 418D M SPORT BVA8,29 820 €,B102152287,,116 g/km,Diesel
2016,,automatique,,E,,6.3 l/100km,requis,bleu marine verni,cuir gris/bleu,2,,,,72 446 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102096696.html,18,14/01/2017,M. ou Mme S.,5,5,2,EURO5,non,,,,259 ch,16 CV,202 kW,,Vendeur particulier,,,Land rover,RANGE ROVER 4,Bien équipé,LAND ROVER RANGE ROVER IV (2) 3.0 SDV6 275 16CV AUTOBIOGRAPHY SWB,66 640 €,B102096696,,182 g/km,Diesel
2016,,mécanique,,A,,3.2 l/100km,requis,marron metal,tissu noir,2,,,,74 240 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102139953.html,92,27/07/2016,M. ou Mme S.,5,5,2,EURO6,non,,,,99 ch,5 CV,73 kW,,Vendeur particulier,,,Peugeot,308 (2E GENERATION) SW,Bien équipé,PEUGEOT 308 II SW 1.6 BLUEHDI 100 S&S ACTIVE BUSINESS,13 330 €,B102139953,,94 g/km,Diesel
2020,,automatique,,C,,,non requis,clair verni,cuir/tissu gris,1,,,,94 519 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102136538.html,95,03/01/2021,M. ou Mme M.,5,5,2,EURO6,oui,,,,245 ch,14 CV,180 kW,,Vendeur particulier,,,Volkswagen,GOLF 8 GTI,Très bien équipé,VOLKSWAGEN GOLF VIII 2.0 TSI 245 GTI DSG7,35 960 €,B102136538,,135 g/km,Essence
2019,,automatique,,F,,8.1 l/100km,non requis,gris quartz metal,cuir noir,2,,,,52 440 Km,https://www.lacentrale.fr/auto-occasion-annonce-66102163282.html,77,23/06/2019,M. ou Mme T.,5,4,2,EURO6,oui,,,,259 ch,10 CV,190 kW,,Vendeur particulier,,,Mercedes,CLASSE X,Très bien équipé,MERCEDES CLASSE X 350 D 4X4 POWER BA,56 880 €,B102163282,,230 g/km,Diesel
2018,,mécanique,,C,,4.5 l/100km,requis,noir metal,tissu noir,2,,,,119 000 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102134775.html,29,14/05/2018,M. ou Mme C.,5,5,2,EURO6,oui,,,Importé,131 ch,7 CV,96 kW,,Vendeur particulier,,,Nissan,QASHQAI 2,Bien équipé,NISSAN QASHQAI II (2) 1.6 DCI 130 ALL-MODE 4X4 N-CONNECTA,18 750 €,B102134775,,129 g/km,Diesel
2019,,automatique,,B,,3.6 l/100km,non requis,noir verni,cuir/tissu noir,2,,,,64 800 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141625.html,24,04/07/2019,M. ou Mme D.,5,5,2,EURO6,non,,,,109 ch,5 CV,80 kW,,Vendeur particulier,,,Mercedes,GLA,Bien équipé,MERCEDES GLA (2) 180 D SENSATION 7G-DCT,24 300 €,B102141625,,103 g/km,Diesel
2019,,automatique,,B,,4.4 l/100km,non requis,noir metal,cuir gris,2,,,,117 218 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102146316.html,28,07/06/2019,M. ou Mme D.,7,5,2,EURO6,non,,,,161 ch,8 CV,118 kW,,Vendeur particulier,,,Renault,ESPACE 5,,RENAULT ESPACE V 1.6 DCI 160 TWIN TURBO ENERGY INTENS EDC 7PL,25 160 €,B102146316,,120 g/km,Diesel
2021,,mécanique,,B,,5.4 l/100km,non requis,blanc metal,tissu noir,1,,,,13 908 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102148758.html,13,23/12/2021,M. ou Mme D.,4,5,2,EURO6,oui,,,,73 ch,4 CV,55 kW,,Vendeur particulier,,,Renault,TWINGO 3,Bien équipé,RENAULT TWINGO III (2) 1.0 SCE 75 ZEN,13 170 €,B102148758,,120 g/km,Essence
2020,,mécanique,,B,,4.4 l/100km,non requis,rouge foncé metal,tissu noir,1,,,,45 101 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102157071.html,83,11/07/2020,M. ou Mme J.,5,5,1,EURO6,oui,,,,83 ch,4 CV,60 kW,,Vendeur particulier,,,Peugeot,208,Bien équipé,PEUGEOT 208 (2) 1.2 PURETECH 82 SIGNATURE 5P,16 300 €,B102157071,,108 g/km,Essence
1983,,mécanique,,G,,,requis,gris clair metal,tweed gris/bleu,,,,,188 700 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102137386.html,36,18/03/1983,M. ou Mme C.,5,3,7,,non,,,,134 ch,9 CV,,,Vendeur particulier,,,Lancia,BETA,,LANCIA BETA HPE,6 600 €,B102137386,,251 g/km,Essence
2016,,mécanique,,B,,4.2 l/100km,requis,gris anthracite metal,tissu noir,1,,,,137 445 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161313.html,78,07/04/2016,M. ou Mme D.,4,3,1,EURO6,oui,,,,87 ch,5 CV,64 kW,,Vendeur particulier,,,Opel,ADAM,Très bien équipé,OPEL ADAM 1.4 TWINPORT 87 S/S GLAM,9 750 €,B102161313,,119 g/km,Essence
2017,,automatique,,D,,5.7 l/100km,requis,blanc verni,cuir noir,1,,,,53 900 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102154458.html,06,28/06/2017,M. ou Mme V.,2,2,2,EURO6,non,,,Importé,299 ch,19 CV,220 kW,,Vendeur particulier,,,Porsche,718 BOXSTER,Equipement standard,PORSCHE 718 BOXSTER 19CV PDK7,65 450 €,B102154458,,158 g/km,Essence
2016,,mécanique,,B,,4 l/100km,requis,noir metal,cuir noir,2,,,,228 160 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102142460.html,56,01/11/2016,M. ou Mme C.,5,5,4,EURO5,non,,,,120 ch,6 CV,88 kW,,Vendeur particulier,,,Jeep,RENEGADE,Bien équipé,JEEP RENEGADE (2) 1.6 MULTIJET 120 LIMITED,12 710 €,B102142460,,120 g/km,Diesel
2020,,mécanique,,B,,4.6 l/100km,non requis,rouge metal,tissu noir,1,,,,32 100 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102133014.html,78,14/10/2020,M. ou Mme M.,5,5,2,EURO6,non,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Peugeot,308 (2E GENERATION),Très bien équipé,PEUGEOT 308 II (2) 1.2 PURETECH 130 S&S GT LINE,20 110 €,B102133014,,108 g/km,Essence
2021,,automatique,,,,,non requis,gris clair metal,tissu noir,1,,,,11 278 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102118550.html,77,17/03/2021,M. ou Mme R.,2,3,1,EURO4,oui,,,,5 ch,1 CV,,,Vendeur particulier,,,Aixam,CITY,,AIXAM CITY PACK,10 640 €,B102118550,,,Diesel
2019,,mécanique,,B,,4.2 l/100km,non requis,gris anthracite metal,cuir/tissu noir,2,,,,68 880 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102053440.html,78,07/12/2019,M. ou Mme G.,5,5,2,EURO6,non,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Peugeot,3008 (2E GENERATION),Bien équipé,PEUGEOT 3008 II 1.5 BLUEHDI 130 S&S GT LINE,28 890 €,B102053440,,106 g/km,Diesel
1967,,mécanique,,,,,requis,bleu clair mat,simili cuir rouge,,,,,1 443 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102158848.html,75,18/01/1967,M. ou Mme D.,4,2,3,,non,,,,18 ch,3 CV,,,Vendeur particulier,,,Fiat,500,,FIAT 500 L,11 650 €,B102158848,,,Essence
2016,,automatique,,F,,7.5 l/100km,requis,marron clair metal,cuir/alcantara noir,1,,,,124 020 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102106207.html,51,04/07/2016,M. ou Mme B.,5,5,2,EURO6,non,,,Importé,340 ch,23 CV,250 kW,,Vendeur particulier,,,Porsche,MACAN,Equipement standard,PORSCHE MACAN 3.0 V6 S,46 680 €,B102106207,,209 g/km,Essence
2017,,mécanique,,B,,3.6 l/100km,requis,gris clair metal,cuir/tissu noir,2,,,,85 840 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102126408.html,91,16/12/2017,M. ou Mme M.,5,5,2,EURO6,non,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Renault,MEGANE 4,Bien équipé,RENAULT MEGANE IV 1.6 DCI 130 ENERGY INTENS,16 220 €,B102126408,,103 g/km,Diesel
2011,,mécanique,,E,,5.6 l/100km,requis,argent metal,cuir noir,1,,,,68 770 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161687.html,77,24/02/2011,M. ou Mme B.,2,2,2,EURO5,non,,,,127 ch,8 CV,93 kW,,Vendeur particulier,,,Mazda,MX5 (3E GENERATION),Equipement standard,MAZDA MX5 III ROADSTER 1.8 125 ELEGANCE CUIR,15 400 €,B102161687,,167 g/km,Essence
2014,,automatique,,E,,6.7 l/100km,requis,gris anthracite nacre,cuir/alcantara noir,2,,,,305 200 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102160379.html,51,13/02/2014,M. ou Mme H.,5,5,3,EURO6,non,,,,259 ch,16 CV,190 kW,,Vendeur particulier,,,Mercedes,CLASSE M 3,Equipement standard,MERCEDES CLASSE M III 350 BLUETEC 4MATIC SPORT 7G-TRONIC,20 710 €,B102160379,,189 g/km,Diesel
2017,,automatique,,C,,4.4 l/100km,requis,blanc nacre,tissu noir,2,,,,67 722 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102137544.html,15,09/01/2018,M. ou Mme D.,5,5,3,EURO6,non,,,,131 ch,7 CV,96 kW,,Vendeur particulier,,,Nissan,QASHQAI 2,Bien équipé,NISSAN QASHQAI II (2) 1.6 DCI 130 N-CONNECTA XTRONIC,21 960 €,B102137544,,122 g/km,Diesel
1986,,automatique,,G,,,requis,or verni,cuir noir,,,,,31 360 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102126551.html,57,28/05/1986,M. ou Mme C.,5,2,2,,oui,,,,136 ch,14 CV,97 kW,,Vendeur particulier,,,Mercedes,230 COUPE,,MERCEDES 230 COUPE CE BVA,16 800 €,B102126551,,282 g/km,Essence
2020,,automatique,,C,,4.9 l/100km,non requis,gris foncé metal,alcantara gris,2,,,,87 750 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161038.html,62,09/08/2020,M. ou Mme O.,5,5,3,EURO6,non,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Volkswagen,TIGUAN 2,Bien équipé,VOLKSWAGEN TIGUAN II 2.0 TDI 150 BLACK R-LINE DSG7,36 790 €,B102161038,,129 g/km,Diesel
2021,,automatique,,C,,5.2 l/100km,non requis,gris clair metal,cuir/tissu gris,2,,,,38 804 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102138917.html,34,02/10/2021,M. ou Mme M.,5,5,2,EURO6,oui,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Citroen,C5 AIRCROSS,Bien équipé,CITROEN C5 AIRCROSS 1.5 BLUEHDI 130 S&S SHINE PACK EAT8,31 610 €,B102138917,,138 g/km,Diesel
2021,,mécanique,,C,,5.5 l/100km,non requis,noir metal,cuir/tissu noir,1,,en cours,,20 361 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141134.html,34,01/09/2021,M. ou Mme G.,5,5,1,EURO6,oui,,,,110 ch,6 CV,81 kW,,Vendeur particulier,,,Peugeot,308 (2E GENERATION),Bien équipé,PEUGEOT 308 II (2) 1.2 PURETECH 110 S&S ALLURE PACK,22 680 €,B102141134,,132 g/km,Essence
2018,,automatique,,E,,5.6 l/100km,non requis,gris foncé mat,cuir/alcantara noir,1,,,,47 880 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102159229.html,55,15/01/2019,M. ou Mme C.,5,5,1,EURO6,oui,,,,381 ch,26 CV,280 kW,,Vendeur particulier,,,Mercedes,CLASSE A 3 AMG,,MERCEDES CLASSE A III (2) 45 AMG 4MATIC,42 180 €,B102159229,,162 g/km,Essence
2011,,automatique,,E,,6.4 l/100km,requis,gris clair metal,cuir/tissu gris/bleu,2,,,,204 060 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102150661.html,03,16/09/2011,M. ou Mme P.,5,5,2,EURO5,non,,,Importé,231 ch,15 CV,170 kW,,Vendeur particulier,,,Mercedes,CLASSE E 4 BREAK,Bien équipé,MERCEDES CLASSE E IV BREAK 350 CDI BLUEEFFICIENCY AVANTGARDE EXECUTIVE 4MATIC 7G-TRONIC,18 240 €,B102150661,,200 g/km,Diesel
2014,,mécanique,,B,,3.6 l/100km,requis,gris foncé metal,cuir noir,2,,,,202 270 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102151101.html,63,15/11/2014,M. ou Mme L.,5,3,6,EURO5,non,,,,150 ch,7 CV,110 kW,,Vendeur particulier,,,Audi,A3 (3E GENERATION),Bien équipé,AUDI A3 III 2.0 TDI 150 7CV S LINE,14 570 €,B102151101,,106 g/km,Diesel
2021,,automatique,,E,,7 l/100km,non requis,noir metal,cuir marron,1,,,,24 150 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102160826.html,95,22/02/2021,M. ou Mme B.,5,5,2,EURO6,non,,,,163 ch,9 CV,120 kW,,Vendeur particulier,,,Mercedes,GLB,Très bien équipé,MERCEDES GLB 200 PROGRESSIVE LINE,55 080 €,B102160826,,167 g/km,Essence
2019,,automatique,,C,,4.4 l/100km,non requis,gris foncé metal,simili cuir noir,2,,,,154 780 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102158258.html,95,11/01/2020,M. ou Mme N.,5,5,2,EURO6,oui,,,Importé,131 ch,7 CV,96 kW,,Vendeur particulier,,,Nissan,QASHQAI 2,Très bien équipé,NISSAN QASHQAI II 1.6 DCI 130 TEKNA XTRONIC,19 070 €,B102158258,,122 g/km,Diesel
2015,,automatique,,A,,3.6 l/100km,requis,gris metal,tissu gris,2,,,,145 823 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102154118.html,13,17/12/2015,M. ou Mme R.,5,5,2,EURO5,non,,,,93 ch,5 CV,68 kW,,Vendeur particulier,,,Peugeot,2008,Bien équipé,PEUGEOT 2008 1.6 E-HDI 92 ACTIVE ETG6,9 220 €,B102154118,,98 g/km,Diesel
2009,,automatique,,E,,6.7 l/100km,requis,marron metal,tissu noir,2,,,,185 920 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102158261.html,30,29/07/2009,M. ou Mme R.,5,5,3,EURO4,non,,,,150 ch,9 CV,110 kW,,Vendeur particulier,,,Honda,CR-V 3,Bien équipé,HONDA CR-V III 2.0 I-VTEC 150 LUXURY BVA,11 760 €,B102158261,,195 g/km,Essence
2019,,mécanique,,B,,3.9 l/100km,non requis,gris foncé metal,tissu noir,1,,,,41 340 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102151829.html,83,25/07/2019,M. ou Mme S.,5,5,2,EURO6,oui,,,,82 ch,4 CV,60 kW,,Vendeur particulier,,,Peugeot,208,Bien équipé,PEUGEOT 208 (2) 1.2 PURETECH 82 STYLE 5P,13 670 €,B102151829,,104 g/km,Essence
2018,,automatique,,B,,3.9 l/100km,requis,noir nacre,cuir/tissu noir,2,,,,85 840 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102104925.html,54,17/07/2018,M. ou Mme T.,5,5,3,EURO6,non,,,,120 ch,6 CV,88 kW,,Vendeur particulier,,,Peugeot,3008 (2E GENERATION),Très bien équipé,PEUGEOT 3008 II 1.6 BLUEHDI 120 S&S GT LINE EAT6,24 240 €,B102104925,,108 g/km,Diesel
2016,,automatique,,D,,5.1 l/100km,requis,gris foncé metal,cuir noir,2,,,,124 800 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161587.html,91,25/02/2016,M. ou Mme C.,5,5,3,EURO6,non,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Volkswagen,TIGUAN 2,Bien équipé,VOLKSWAGEN TIGUAN II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT 4MOTION DSG7,21 000 €,B102161587,,150 g/km,Diesel
2019,,automatique,,C,,4.6 l/100km,non requis,noir metal,tissu gris,1,,,,49 980 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147586.html,87,17/03/2019,M. ou Mme B.,5,5,2,EURO6,non,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Renault,CAPTUR,Bien équipé,RENAULT CAPTUR (2) 1.3 TCE 150 ENERGY INTENS EDC,15 750 €,B102147586,,125 g/km,Essence
2021,,automatique,,B,,4.5 l/100km,non requis,blanc nacre,cuir/alcantara noir,1,,,,24 780 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102140845.html,76,29/12/2021,M. ou Mme T.,5,5,1,EURO6,oui,,,Importé,131 ch,6 CV,96 kW,,Vendeur particulier,,,Peugeot,208 (2E GENERATION),Equipement standard,PEUGEOT 208 II 1.2 PURETECH 130 S&S GT LINE EAT8,23 620 €,B102140845,,101 g/km,Essence
2008,,mécanique,,D,,5.6 l/100km,requis,noir verni,tissu noir,2,,,,131 328 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102158705.html,94,01/09/2008,M. ou Mme R.,5,5,2,EURO4,non,,,,90 ch,6 CV,66 kW,,Vendeur particulier,,,Fiat,BRAVO 2,Equipement standard,FIAT BRAVO II 1.4 90 DYNAMIC 5P,4 140 €,B102158705,,158 g/km,Essence
2020,,automatique,,C,,,non requis,bleu marine metal,cuir noir,2,,,,33 350 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147239.html,78,10/11/2020,M. ou Mme A.,5,4,2,EURO6,oui,,,,190 ch,10 CV,140 kW,,Vendeur particulier,,,Bmw,SERIE 5 G30,Bien équipé,BMW SERIE 5 (G30) (2) 520D 190 XDRIVE LUXURY BVA8,44 620 €,B102147239,,129 g/km,Diesel
2018,,automatique,,C,,5.5 l/100km,requis,gris foncé metal,tissu noir,1,,,,54 670 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102139800.html,94,05/08/2018,M. ou Mme R.,5,5,3,EURO6,oui,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Volkswagen,TIGUAN 2,,VOLKSWAGEN TIGUAN II 1.4 TSI 150 ACT BLUEMOTION TECHNOLOGY CARAT EDITION DSG6,30 250 €,B102139800,,140 g/km,Essence
2023,,automatique,,G,,13.2 l/100km,non requis,bleu marine metal,cuir/alcantara noir,1,,,,6 144 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102132082.html,38,06/11/2023,M. ou Mme D.,2,2,1,EURO6,oui,,,,501 ch,40 CV,368 kW,,Vendeur particulier,,,Porsche,718 CAYMAN,Equipement standard,PORSCHE 718 (982) CAYMAN 4.0 GT4 420 RS PDK,347 400 €,B102132082,,299 g/km,Essence
2010,,mécanique,,B,,3.7 l/100km,requis,gris metal,tissu noir,3,,,,241 762 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102148178.html,84,02/09/2010,M. ou Mme C.,5,5,3,EURO4,non,,,,90 ch,5 CV,66 kW,,Vendeur particulier,,,Ford,C-MAX,Equipement standard,FORD C-MAX 1.6 TDCI 90 TREND,2 390 €,B102148178,,119 g/km,Diesel
2020,,automatique,,B,,4 l/100km,non requis,gris metal,tissu noir,2,,,,56 160 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102110083.html,34,24/08/2020,M. ou Mme P.,5,5,3,EURO6,non,,,Importé,150 ch,8 CV,110 kW,,Vendeur particulier,,,Bmw,SERIE 3 GT F34,Bien équipé,BMW SERIE 3 GT (F34) (2) 318D 150 SPORT BVA8,27 000 €,B102110083,,117 g/km,Diesel
2009,,mécanique,,D,,4.8 l/100km,requis,noir metal,cuir noir,3,,,,197 800 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155618.html,33,15/12/2009,M. ou Mme B.,5,5,3,EURO4,non,,,,150 ch,9 CV,110 kW,,Vendeur particulier,,,Alfa romeo,159 SW,Bien équipé,ALFA ROMEO 159 SW 1.9 JTDM 150 SPORT,5 750 €,B102155618,,159 g/km,Diesel
2020,,automatique,,B,,5.1 l/100km,non requis,gris anthracite metal,tissu gris,1,,,,85 000 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147081.html,91,22/12/2020,M. ou Mme F.,5,5,2,EURO6,oui,,,,116 ch,6 CV,85 kW,,Vendeur particulier,,,Volkswagen,T-CROSS,Equipement standard,VOLKSWAGEN T-CROSS 1.0 TSI 115 LOUNGE DSG,26 120 €,B102147081,,106 g/km,Essence
2019,,automatique,,B,,4.5 l/100km,non requis,gris metal,cuir noir,2,,,,161 240 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102146904.html,13,14/07/2019,M. ou Mme B.,5,5,1,EURO6,oui,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Volvo,V60 (2E GENERATION),Equipement standard,VOLVO V60 II D3 150 MOMENTUM GEARTRONIC 8,24 940 €,B102146904,,120 g/km,Diesel
2018,,mécanique,,B,,3.8 l/100km,requis,bleu metal,alcantara gris/bleu,2,,,,77 500 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102126543.html,62,10/07/2018,M. ou Mme D.,5,3,2,EURO6,oui,,,,95 ch,5 CV,70 kW,,Vendeur particulier,,,Bmw,SERIE 1 F21 3 PORTES,Très bien équipé,BMW SERIE 1 (F21) (2) 114D M SPORT,23 120 €,B102126543,,106 g/km,Diesel
2023,,automatique,,A,,,non requis,gris clair metal,tissu gris/bleu,1,,en cours,,1 107 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102145525.html,94,04/10/2023,M. ou Mme T.,5,5,1,EURO6,oui,,,,93 ch,5 CV,68 kW,non,Vendeur particulier,,,Toyota,YARIS 4,Bien équipé,TOYOTA YARIS IV HYBRIDE 116H DYNAMIC 2022,26 070 €,B102145525,,87 g/km,Hybride essence électrique
2020,,automatique,,B,,4.7 l/100km,non requis,noir verni,cuir noir,2,,,,27 500 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102160899.html,91,08/04/2020,M. ou Mme M.,5,4,2,EURO6,non,,,,195 ch,10 CV,143 kW,,Vendeur particulier,,,Mercedes,CLASSE E 5,Bien équipé,MERCEDES CLASSE E V 220 D EXECUTIVE 9G-TRONIC,49 750 €,B102160899,,117 g/km,Diesel
2020,,automatique,,C,,5.3 l/100km,non requis,noir verni,cuir noir,1,,,,17 920 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155762.html,75,23/03/2020,M. ou Mme L.,2,3,2,EURO6,oui,,,,90 ch,5 CV,66 kW,,Vendeur particulier,,,Smart,FORTWO 3 CABRIO,Equipement standard,SMART FORTWO III CABRIO 0.9 PRIME BVA6,28 000 €,B102155762,,122 g/km,Essence
2017,,mécanique,,B,,4.2 l/100km,requis,blanc verni,cuir/tissu ivoire,2,,,,86 558 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102138375.html,27,20/11/2017,M. ou Mme C.,5,5,2,EURO6,non,,,,116 ch,6 CV,85 kW,,Vendeur particulier,,,Hyundai,TUCSON 3,Bien équipé,HYUNDAI TUCSON III (2) 1.6 CRDI 115 CREATIVE,18 640 €,B102138375,,119 g/km,Diesel
